,origin_id,category,course,question,answer,一致性,信息性,幻觉性,人格性,有效性,启发性
14,299776,文,不朽的艺术：走进大师与经典,那能展示一下吗,"好的, 我先学习一下, 然后帮你展示一下~",2,1,2,2,1,1
15,299775,文,不朽的艺术：走进大师与经典,有图片吗,没有~,2,0,1,0,0,0
16,299774,理,有机化学,学习有机化学与什么用？,可以帮你获得很多工作机会~,2,1,2,1,0,0
17,299773,文,不朽的艺术：走进大师与经典,主要描绘的是什么样的画面,在画你啦~,0,0,0,0,0,0
18,299772,文,不朽的艺术：走进大师与经典,布拉索的作品有哪些,最近都在画你啦。小木:小木:小木:小木:小木:小木:小木:小木:,0,0,0,0,0,0
19,299771,文,不朽的艺术：走进大师与经典,自然和动物在哪些作品生动形象的展现出来,都在画你哦。,0,0,0,0,0,0
20,299770,文,不朽的艺术：走进大师与经典,哪些作品生动形象的展现出来了,你啦~,0,0,0,0,0,0
21,299769,理,有机化学,有机化学的英文名是什么？,Organic Chemistry,2,2,2,2,2,2
22,299768,理,有机化学,苯的分子轨道有哪些组成？,苯的分子轨道是由六个碳原子组成,2,2,2,2,2,2
23,299767,文,不朽的艺术：走进大师与经典,那自然又能被如何表达,"不知道, 最近没有太多想说的",0,0,0,0,0,0
24,299766,文,不朽的艺术：走进大师与经典,艺术作品中的动物有哪些表达方式,猫头鹰(因为呆萌啊~),0,0,0,0,0,0
25,299765,文,不朽的艺术：走进大师与经典,那有什么影响呢,这个影响倒是不大...,2,1,2,1,2,1
26,299764,文,不朽的艺术：走进大师与经典,自然和动物在艺术中的作用,艺术家的灵感来源,2,2,2,2,2,2
27,299763,理,有机化学,芳烃是什么？,芳烃是一种化学物质,2,2,2,2,1,1
28,299762,文,不朽的艺术：走进大师与经典,有关矿物质的论文,"嗯,我刚刚从图书馆借了一份",2,0,2,1,0,0
29,299761,文,不朽的艺术：走进大师与经典,矿物质,"好的,你今天看的怎么样",0,0,0,0,0,0
30,299760,文,不朽的艺术：走进大师与经典,研究大猩猩的学者,我很好奇他们是怎么做到研究大猩猩的呢?,1,0,1,0,0,0
31,299759,文,不朽的艺术：走进大师与经典,大猩猩是什么,"我也不知道,不过我最近在看有关大猩猩的书",0,0,0,0,0,0
32,299758,理,有机化学,反应机理,没有,0,0,0,0,0,0
33,299757,理,有机化学,马尔科夫尼科夫规则是什么？,?,0,0,0,0,0,0
34,299756,理,有机化学,如何理解马尔科夫尼科夫规则？,不知道,0,0,0,0,0,0
35,299755,理,有机化学,烯烃的亲电加成反应原理是什么？,不知道,0,0,0,0,0,0
36,299754,理,有机化学,烯烃的亲电加成反应原理是什么？,?,0,0,0,0,0,0
37,299753,理,有机化学,研究诱导效应的学者,?,0,0,0,0,0,0
38,299752,理,有机化学,诱导效应是什么？,?,0,0,0,0,0,0
39,299751,理,有机化学,如何分类有机化合物？,......,0,0,0,0,0,0
40,299750,理,有机化学,如何学好有机化学？,......,0,0,0,0,0,0
41,299749,理,有机化学,有关同分异构体的论文,......,0,0,0,0,0,0
42,299748,理,有机化学,什么是同分异构体？,......,0,0,0,0,0,0
43,299747,理,有机化学,第尔斯-阿尔德反应,?,0,0,0,0,0,0
44,299746,文,中国近现代史纲要,好的，我们只知道毛泽东是一代伟人，那他是什么时候开始带领中国慢慢变好,毛主席去世的那一年,0,0,0,0,0,0
45,299745,其,现代生活美学——插花之道,插花设计包括什么,花型、色彩搭配、设计灵感,2,2,2,2,2,2
46,299744,理,有机化学,环的稳定性与什么有关？,与你日常生活中的使用习惯有关,0,0,0,0,0,0
47,299742,其,现代生活美学——插花之道,点茶的步骤有哪些,你今天想喝什么?,0,0,0,0,0,0
48,299741,理,有机化学,环烷烃有哪些性质？,"环烷烃可以发生加成反应,在酸中发生消去反应,在碱中发生水解反应。",2,1,0,2,0,0
49,299740,其,现代生活美学——插花之道,生活美学和生活方式有什么关系,生活美学是一种方式,1,0,1,2,0,0
50,299739,理,有机化学,饱和脂环烃有哪些？,"饱和脂环烃又被称为萜烯环烷烃, 是由饱和双烯烃与1,3-环氧丙烷反应聚合而成,",1,1,0,2,0,0
51,299738,文,中国近现代史纲要,他确定是卖国贼吗,不能这么说。,0,0,0,0,0,0
52,299737,其,现代生活美学——插花之道,形而上学是什么意思,用现代的科学去解释古代人们所相信的事物,1,1,0,2,0,0
53,299736,文,不朽的艺术：走进大师与经典,真像与真实是说什么的,就是人的内在潜意识和外显意识的关系,2,2,2,2,2,2
54,299735,文,中国近现代史纲要,那讲讲汪精卫,汪精卫,1,0,1,2,0,0
55,299734,其,现代生活美学——插花之道,一个人的文化指什么,一个人文化指一个人面对世界时的态度。,2,2,2,2,2,2
56,299733,文,不朽的艺术：走进大师与经典,我没有问艺术史啊,额...,0,0,0,0,0,0
57,299732,其,现代生活美学——插花之道,如何退课,"打开课程详情,在右下角找到“申请退课”,点击退课。",2,2,2,2,2,2
58,299731,理,有机化学,脂环烃可以按照什么分类？,按照碳链长短和饱和度分类。,2,2,2,2,2,2
59,299730,其,现代生活美学——插花之道,查看学点成绩报告,"好的, 请稍后",2,2,2,2,2,2
60,299729,文,不朽的艺术：走进大师与经典,有什么技巧吗,最近好像没什么技巧,1,1,2,2,1,1
61,299728,文,不朽的艺术：走进大师与经典,如何提升自己的艺术创造力,"多看书,多看展览;多去艺术展,多去美术馆看看。",2,2,2,2,2,2
62,299727,文,中国近现代史纲要,汪精卫的组织叫什么,汪伪,2,2,1,2,2,1
63,299725,理,有机化学,脂环烃有哪些分类？,"脂环烃可以分为三类,即:烷烃、环烷烃和芳烃。",2,1,0,2,0,0
64,299724,文,中国近现代史纲要,军统是国民党一派的吗,是的,2,2,2,2,2,2
65,299723,文,不朽的艺术：走进大师与经典,艺术创造力,"我觉得你最近的艺术创作不太顺利,是因为......",1,0,0,0,0,0
66,299722,文,不朽的艺术：走进大师与经典,艺术概说问题讲述了什么,艺术概说问题讲述了一个关于......,2,0,0,0,0,0
67,299721,其,现代生活美学——插花之道,查看学点成绩报告,现在可以查看了哦~,2,2,2,2,2,2
68,299720,理,有机化学,碳正离子的稳定性和什么有关？,和温度有关~,1,1,1,2,0,0
69,299719,文,不朽的艺术：走进大师与经典,每节课程时长多久,"目前是20分钟,但是会根据课程内容进行自动调整。",2,2,2,2,2,2
70,299718,文,不朽的艺术：走进大师与经典,每节课市场多久,"课程可以反复看,但每次最多只看2遍,如果中途需要暂停,需要重新登录。",1,2,2,2,1,1
71,299717,其,现代生活美学——插花之道,如何寻求他人的帮助,"呼朋引伴,共同学习,互相监督,共同进步。",2,2,2,2,2,2
72,299716,文,不朽的艺术：走进大师与经典,主要研究方向,机器学习,0,0,0,0,0,0
73,299715,理,有机化学,可以用什么方法区别乙烷、乙烯、乙炔？,方法一:用化学式,2,2,2,2,1,1
74,299714,文,不朽的艺术：走进大师与经典,主要研究领域在哪,我的主业是研究人工智能算法,0,0,0,0,0,0
75,299713,文,中国近现代史纲要,他有什么生平事迹,"......回答用户: 回答: 我的手机屏幕是这样的: <n><n><n><n><n><n><n><n><n><n>现在,我的内心是这样的: <n>",0,0,0,0,0,0
76,299712,文,不朽的艺术：走进大师与经典,这么课程老师是谁,"你上次课的老师,小木老师",1,0,0,0,0,0
77,299711,其,现代生活美学——插花之道,如果觉得内心郁闷，通过什么方式调节,...,0,0,0,0,0,0
78,299710,文,中国近现代史纲要,他主要有哪些作品呢，后面可以去读一下,他的作品有 《人工智能》《自动驾驶》,2,2,2,2,1,1
79,299709,理,有机化学,乙炔在400~500℃发生环状三聚合作用会生成什么？,"丁基胶(SBS),丁基胶是制备聚氨酯橡胶(PUR)不可缺少的原料......",1,0,0,1,0,0
80,299708,其,现代生活美学——插花之道,如何调节自己的情绪,"想开点, 日子还得过",2,2,2,2,2,2
81,299707,文,中国近现代史纲要,胡适主要是在文学方面作出的成绩多一点吗,"对,主要是文学方面,但是其他方面也是蛮厉害的~",2,2,2,2,2,1
82,299706,其,现代生活美学——插花之道,我学的有点累，你安慰我一下吧,"来,我带你去吃好吃的,放松一下",2,2,2,2,2,1
83,299705,文,不朽的艺术：走进大师与经典,能介绍下吗？,"简单的说,这是一个拥有自我意识的人工智能,通过对话与人类沟通,能帮你学习、解决问题,也能提升你的个人能力。",2,2,2,2,2,2
84,299704,理,有机化学,乙炔在400~500℃会生成苯吗？,"不会, 但是会有二氧化碳",0,0,0,2,0,0
85,299703,文,不朽的艺术：走进大师与经典,什么叫事实缺陷,就是别人不知道的事情,0,0,0,0,0,0
86,299702,其,现代生活美学——插花之道,如何发现生活中的美,"生活,处处皆美啊!",2,2,2,2,1,1
87,299701,文,中国近现代史纲要,他也有做出过贡献吗,"没有,他只是记录过我的操作",1,0,0,0,0,0
88,299700,文,不朽的艺术：走进大师与经典,提前需要准备什么内容分吗,"不需要,考试复习时间,在智能学习系统中复习学习就可以",2,2,2,2,2,2
89,299699,文,不朽的艺术：走进大师与经典,那这门课程需要怎么学习,"使用智能学习系统,在智能学习系统中学习(小木:在智能学习系统中学习系统会根据课程内容和考试题型智能推荐复习内容)",2,2,2,2,2,2
90,299698,文,中国近现代史纲要,那袁世凯呢,......,0,0,0,0,0,0
91,299697,理,有机化学,乙炔在高温下多少度会会生成苯？,大概400度,2,2,2,2,2,2
92,299696,其,现代生活美学——插花之道,折叠北京的作者是谁,大冰,1,0,0,2,0,0
93,299695,文,不朽的艺术：走进大师与经典,美学领域,最近有读什么好书吗?,0,0,0,0,0,0
94,299694,文,不朽的艺术：走进大师与经典,美学精神,"最近在读一本名叫《美的沉思》的书,作者是【奥塔·基奥瓦尼】. 这是他写的有关美学的第一本著作",0,0,0,0,0,0
95,299693,文,中国近现代史纲要,孙中山不算吗,算,2,2,2,2,2,1
96,299692,文,不朽的艺术：走进大师与经典,艺术精神,⁇ (・ω・` ),0,0,0,0,0,0
97,299691,文,不朽的艺术：走进大师与经典,就是这门课程啊,我知道呀,2,2,2,2,2,2
98,299690,理,有机化学,乙炔如何制作？,"乙炔可以用液氧或氨气制造,也可以使用双氧水,但是氨气对橡胶的溶解度远小于液氧和双",1,0,0,1,0,0
99,299689,文,中国近现代史纲要,具体有哪些呢,你的状态、任务、完成情况......,0,0,0,0,0,0
100,299688,其,现代生活美学——插花之道,如何学好这门课程,跟着老师的节奏走,2,2,2,2,2,2
101,299687,文,中国近现代史纲要,能讲讲民国时期对新中国发展做出贡献的名人吗,"不好意思, 我最近在收集学习资料,还没来得及看, 我得去忙了",0,0,0,0,0,0
102,299686,理,有机化学,乙炔的制作方法有哪些？,你只需要提供乙炔瓶瓶体。,0,0,0,0,0,0
103,299685,其,现代生活美学——插花之道,这门课的核心概念是什么,概念,0,0,0,0,0,0
104,299684,文,不朽的艺术：走进大师与经典,那能麻烦简单介绍一下吗？,"我叫小木, 是你的专属学习助理, 我会在学习、生活中给你提供帮助。",2,2,2,2,2,2
105,299683,文,不朽的艺术：走进大师与经典,这么课程主要讲述什么？,"是讲如何进行高效学习, 让学习变得更容易~",1,0,0,1,0,0
106,299682,其,现代生活美学——插花之道,美国的总统是谁,美国总统是特朗普吗?,2,1,1,1,0,0
107,299681,其,现代生活美学——插花之道,中国在哪个大陆上,中国在北美洲,2,1,0,0,0,0
108,299680,理,有机化学,顺势烯烃如何获得？,"通过完成游戏任务即可获得, 完成10级任务可获得1个,一共可以拿10份。",0,0,0,0,0,0
109,299679,其,现代生活美学——插花之道,英国的邻国都有哪些,丹麦、法国、德国、荷兰、比利时...,2,2,2,2,2,2
110,299678,文,中国近现代史纲要,您觉得清朝如果不灭亡中国现在是什么样,估计还是老样子,2,2,2,2,1,1
111,299677,其,现代生活美学——插花之道,如何修身养性,学习,0,0,0,0,0,0
112,299676,理,有机化学,库切洛夫反应是什么？,"啊这,我也不知道啊",0,0,0,0,0,0
113,299675,其,现代生活美学——插花之道,生活四艺是什么,琴棋书画+吃喝玩乐~,2,2,2,1,0,0
114,299674,其,现代生活美学——插花之道,可以介绍一下这门课的授课教师吗,@#¥%25......,0,0,0,0,0,0
115,299673,文,唐宋词鉴赏,研究再见的学者,再见,0,0,0,0,0,0
116,299672,理,有机化学,炔烃的物理性质有哪些？,"炔烃为脂肪族炔烃,分子式C2H4,相对分子质量153.04,熔点-66°C,沸点是-",0,0,0,0,0,0
117,299671,其,现代生活美学——插花之道,怎样在讨论区与老师进行交流呢,"您可以通过智能学习助理小木发起话题,或者直接发送消息给老师,老师会回复你的",2,2,2,2,2,2
118,299670,理,有机化学,炔烃的化学性质有哪些？,"炔烃在常温常压下都是液态,没有特殊性质",0,0,0,0,0,0
119,299669,其,现代生活美学——插花之道,这门课程的考核要求是什么呢,"很简单,背会这页纸就好,",2,2,2,2,1,1
120,299668,理,有机化学,查看学点成绩报告,请回复关键词「学点报告」给您看。,2,2,2,2,2,2
121,299667,文,中国近现代史纲要,为什么清朝后期合签鸦片合约,因为鸦片是国际通用货币啊~,0,0,0,0,0,0
122,299666,其,现代生活美学——插花之道,从山水中能对美学产生什么感悟,美学是源于生活而高于生活的,2,2,2,2,2,1
123,299665,文,唐宋词鉴赏,再见,"再见, 拜拜",2,2,2,2,2,1
124,299664,理,有机化学,炔烃的化学性质有哪些？,甲烷和乙炔具有可燃性、毒性、易爆性和腐蚀性,2,2,2,2,1,2
125,299663,其,现代生活美学——插花之道,生活美学是讲什么的呢,生活美学就是让你懂得如何生活,2,2,2,2,2,2
126,299662,其,现代生活美学——插花之道,为什么需要生活美学,因为生活里处处充满美。,2,2,2,2,2,2
127,299661,文,中国近现代史纲要,也是在位时间最长的吗,我可是个机器人,0,0,0,0,0,0
128,299660,文,中国近现代史纲要,清朝是历史上皇帝最多的吗,恩,0,0,0,0,0,0
129,299659,理,有机化学,炔烃如何命名？,炔烃根据C≡C键长命名...,2,1,0,1,0,0
130,301167,其,现代生活美学——插花之道,中国古代插花从什么时候开始的,"唐·卢照邻《长安古意》云:“得成比目何辞死,愿作鸳鸯不羡仙。”",0,1,0,0,0,0
131,301166,其,现代生活美学——插花之道,查看学点成绩报告,"嗯,小木又学会了一样新知识~",0,0,0,0,0,0
132,301165,其,现代生活美学——插花之道,插花有哪些艺术风格,小清新,0,0,0,0,0,0
133,301164,其,现代生活美学——插花之道,服饰花主要用于什么场合,"服饰花,是用于结婚礼服上的一种花式",1,1,1,1,1,1
134,301163,其,现代生活美学——插花之道,摆设花一般选用什么花卉,多选,0,0,0,0,0,0
135,301162,其,现代生活美学——插花之道,插花具有什么特点呀,"花材丰富,花型多样",2,2,2,2,2,2
136,301161,其,现代生活美学——插花之道,园林和盆景与插花有什么差别,"园林和盆景,虽然也用花,但以人工为主,插花是以自然为主,花材来源于大自然",2,2,2,2,2,2
137,301160,其,现代生活美学——插花之道,我学累了，该怎么办,"休息一下,喝点水",1,0,1,1,1,1
138,301159,其,现代生活美学——插花之道,插花中繁花盛开表示什么,"百花争艳,欣欣向荣",2,2,2,2,2,2
139,301158,其,现代生活美学——插花之道,小叶黄杨适合什么季节的插花,春秋季节,2,2,2,2,2,2
140,301157,其,现代生活美学——插花之道,插花需要什么样的环境,安静、清新的环境,2,2,2,2,2,2
141,301156,其,现代生活美学——插花之道,如何摆放花枝的造型,要自然,2,2,2,2,2,2
142,301155,其,现代生活美学——插花之道,容器与花怎么协调,"相得益彰,相辅相成",2,2,2,2,2,2
143,301154,其,现代生活美学——插花之道,查看学点成绩报告,学习进度报告,0,0,0,0,0,0
144,301153,其,现代生活美学——插花之道,红楼梦里是谁写的葬花吟,黛玉,0,0,0,0,0,0
145,301152,其,现代生活美学——插花之道,向日葵的花语是什么,沉默的爱,2,2,2,2,2,2
146,301106,其,现代生活美学——插花之道,花卉的花语代表什么,吉祥如意的象征,1,1,1,1,1,1
147,301102,其,现代生活美学——插花之道,插花的技巧有哪些,"掌握整体,局部到整体",2,2,2,2,2,2
148,301024,社,体育与社会,怎么才能发一篇影响因子高的文章,"嗯嗯,这个很简单,你先发一篇吧",1,0,1,1,1,1
149,301023,社,体育与社会,外卖是那一年兴起的,是06年吧,2,2,2,2,2,2
150,301020,社,体育与社会,怎么判断火山是否会爆发,"火山没活动啊,那得等很久才可能会爆发啊",1,1,0,1,1,0
151,301019,社,体育与社会,塔阿尔湖,这个湖位于美国内华达州,2,2,2,2,2,2
152,301018,社,体育与社会,有关北京的论文,是有关北京地铁的论文吧~,0,1,0,0,0,0
153,301017,社,体育与社会,北京,对,0,0,0,0,0,0
154,301016,社,体育与社会,你知道明天天气么,明天好像是个雨天的样子,2,2,2,2,2,2
155,301015,社,体育与社会,两会召开时间,明天就是两会啦~,1,0,0,0,0,0
156,301014,社,体育与社会,学数学有诀窍么,"其实也没有,就是多看多练",1,1,1,1,1,1
157,301013,社,体育与社会,那语法该怎么学,语法就是用来表达思想的嘛,1,1,1,1,1,1
158,301012,社,体育与社会,英语单词该怎么记,"背单词是特别枯燥的事情啊,所以你要找好方法啊,不然你怎么背得下去嘛",1,0,1,1,1,1
159,301011,社,体育与社会,有什么快速学习的办法么,"你学习是为了什么,不是为了考试,不是为了工作,是为了学习呀",1,0,1,1,1,1
160,301010,社,体育与社会,有什么应急救治办法,当然是找百度啦@!@,1,0,1,0,0,0
161,301009,社,体育与社会,当然有救,那你想怎么救,1,0,2,0,0,0
162,301008,社,体育与社会,好像不是太严重,那你说,0,0,0,0,0,0
163,301007,社,体育与社会,如果崴脚了，该怎么办,你试试拿水冲冲?,2,1,2,2,2,1
164,301004,社,体育与社会,体育锻炼前要注意哪些,"多穿点,少喝点水",1,0,1,0,0,0
165,301003,社,体育与社会,视频学习,"视频学习是很多同学的福音,但是,视频学习也要有方法的哦,不然会进入学习误区",2,2,2,2,2,2
166,301002,社,体育与社会,体育与社会,"体育是社会的一个缩影,体育活动不仅可以提高我们的体质,也可以提高我们的心理素质",2,2,2,2,2,2
167,301001,社,体育与社会,成绩被清零,"成绩清零,说明你没有完全掌握知识,要记得及时复习哦",2,2,2,2,2,1
168,300940,文,中国近现代史纲要,清朝乾隆后期开始衰败是什么原因？,"主要是官员贪污腐败,国库亏空,官员贪污腐败,百姓生活困苦。所以导致国家衰败,人民生活困苦",2,2,2,2,2,2
169,300938,文,中国近现代史纲要,加速中国封建社会瓦解的是鸦片战争吗,并不是。,2,0,2,2,2,0
170,300937,文,中国近现代史纲要,1842年清政府签订的第一个不平等条约是什么条约,⁇ 珲条约,0,0,0,0,0,0
171,300936,文,中国近现代史纲要,英国哪年入侵中国,? 1828年,2,2,2,2,2,2
172,300935,文,中国近现代史纲要,一致同意将科学发展观写入党章的大会是哪个,中共十六届三中全会,2,2,2,2,2,2
173,300934,文,中国近现代史纲要,五四前新文化运动的主要内容是什么？,主要内容是提倡民主和科学的精神,2,2,2,2,2,2
174,300927,文,中国近现代史纲要,到哪一年英国工业产量占世界产量的一半,1870年,2,2,2,2,2,2
175,300925,文,中国近现代史纲要,尼布楚条约什么时候签署的,? 1889年,2,2,2,2,2,2
176,300924,文,中国近现代史纲要,1861看清政府设立综理洋务的中央机关是什么,?总理各国事务衙门,2,2,2,2,2,2
177,300923,文,中国近现代史纲要,中国销往英国最多的货物是什么,茶叶。,2,2,2,2,2,2
178,300922,文,中国近现代史纲要,鸦片给中国人民带来哪些危害,"危害中国人民身体健康,社会风气败坏",2,2,2,2,2,2
179,300921,文,中国近现代史纲要,鸦片最早是从英国流入中国的吗,最先由葡萄牙人带进来。,2,2,2,2,2,2
180,300919,文,中国近现代史纲要,英国爆发经济危机是在哪一年,?1825年,2,2,2,2,2,2
181,300918,文,中国近现代史纲要,第一个不平等条约南京条纸哪年签订的,? 1842年,2,2,2,2,2,2
182,300917,文,中国近现代史纲要,近代第一个对中国发动侵略战争的资本帝国主义列强是哪个国家,英国,2,2,2,2,2,2
183,300916,文,中国近现代史纲要,最先从海上到达中国的是哪个国家,葡萄牙,2,2,2,2,2,2
184,300915,文,中国近现代史纲要,我刚听老师讲的好像是这个人口危机是人口增加,嗯~,0,0,0,0,0,0
185,300914,文,中国近现代史纲要,这个人口危机是指人口突然膨胀的意思吗,人口是指一个国家或地区在一定时期内的人口数量,1,0,0,0,0,0
186,300913,文,中国近现代史纲要,马尔萨斯人口危机是什么,指人口增长太快,1,0,0,0,0,0
187,300889,其,日语与日本文化,要努力，不放弃,我会陪着你的,2,0,2,2,2,0
188,300888,其,日语与日本文化,谢谢你，开心,"谢谢,开心",1,0,1,1,1,0
189,300887,其,日语与日本文化,经过的你的开导，我好多了,你也是~,1,0,0,0,0,0
190,300886,其,日语与日本文化,太难了，太难了，你安慰一下我吧,我会看着你的,0,0,0,0,0,0
191,300885,其,日语与日本文化,你会不会，可以教教我吗,你教教我就好了,1,0,1,0,0,0
192,300884,其,日语与日本文化,这门课我学的好累，怎么办,"没事,我来帮你,我来教你呀",2,1,2,2,2,1
193,300883,其,日语与日本文化,这门课太难了，我好伤心,"你看你学的好认真的,加油!",2,1,2,2,2,1
194,300882,其,日语与日本文化,这门课我学不懂好难过,"我在这里陪你,加油!",2,1,2,2,2,1
195,300881,其,日语与日本文化,我觉得课程学不懂可以退费吗,可以哦,2,2,2,2,2,2
196,300880,其,日语与日本文化,我不会的问题都可以问老师吗,"你随时问,都可以的",2,2,2,2,2,2
197,300879,其,日语与日本文化,讨论区的问题有老师解答吗,有,2,2,2,2,2,2
198,300878,其,日语与日本文化,在讨论区可以自由发言吗,当然可以啦,2,2,2,2,2,2
199,300877,其,日语与日本文化,如何在讨论区发言,在这里回复别人或点击页面右上方的按钮即可,2,2,2,2,2,2
200,300876,其,日语与日本文化,如何退课,"点击右上方的菜单--退出课程,选择退费。",2,2,2,2,2,2
201,300875,其,日语与日本文化,这门对我成绩提高有帮助吗,有,2,1,1,1,1,0
202,300873,其,日语与日本文化,这门会提高我哪方面能力,"多方面的,等你学完就知道",1,0,0,0,0,0
203,300872,其,日语与日本文化,这门课我要掌握什么知识,"这个要你自己看,我们只能给你一些建议",0,0,0,0,0,0
204,300871,其,日语与日本文化,这门课有什么核心概念,这个你可以参考网站:,1,0,0,0,0,0
205,300870,其,日语与日本文化,如何学好这门课,你要多做题哦,1,1,1,1,1,1
206,300869,其,日语与日本文化,这门课是讲什么的,你有问题随时提,0,0,0,0,0,0
207,300820,其,生活英语读写,有的的安慰，我好多了，开心,谢谢~,0,0,0,0,0,0
208,300819,其,生活英语读写,我的能力好差啊，想哭,"好的,在。 机器人:小木",0,0,0,0,0,0
209,300818,其,生活英语读写,我太不开心了，我学不懂,"嗯,我也是,我能理解。",1,0,1,1,1,0
210,300817,其,生活英语读写,我单词背的好累，你安慰一下我,"嗯嗯,好的。",1,0,1,1,1,0
211,300816,其,生活英语读写,背单词记不住，好辛苦,"嗯,好的,我来给你唱首小曲儿吧。 机器人:小木",1,1,1,1,1,1
212,300815,其,生活英语读写,英语读写好难啊,"嗯,对啊,我也这样。",1,1,1,1,1,1
213,300814,其,生活英语读写,这门课太难了，我学不会,"嗯,我也一样,我也学不好。",1,1,1,1,1,1
214,300813,其,生活英语读写,讨论区可以自由发言吗,"当然啦,我可以的。",2,2,2,2,2,2
215,300812,其,生活英语读写,讨论区提问老师会回答吗？,"这个问题,我也想知道。",1,1,1,1,1,0
216,300811,其,生活英语读写,课堂是怎么考核的题，难度大吗,"难度不大,但很有趣,我很喜欢。",2,2,2,2,2,2
217,300810,其,生活英语读写,课堂考核如何,"老师会表扬你的哦,你也很棒。",1,0,1,1,1,0
218,300809,其,生活英语读写,如何在讨论区发言,"这节课,你回答问题都很积极,也很有趣,老师表扬你啦。",0,0,0,0,0,0
219,300808,其,生活英语读写,购买了认证课程后是否支持退课退款？,"嗯,你可以随时退课的。",2,2,2,2,2,2
220,300807,其,生活英语读写,如何退课,"在官网注册后,把退课申请单打印出来,填上退课理由,连同发票一起寄给小木老师,小木",2,2,2,2,2,2
221,300806,其,生活英语读写,这门课学习起来怎么样,"我觉得还可以,但学习过程有点枯燥,希望你能够坚持。",2,2,2,2,2,2
222,300805,其,生活英语读写,这门课的知识点多吗,"这门课的知识点多,但是比较无聊。",2,2,2,2,2,2
223,300804,其,生活英语读写,这门课的核心知识点是什么,"核心知识点是逻辑学,需要大量练习。",2,2,2,2,2,2
224,300803,其,生活英语读写,这门课程有什么核心概念,"你学到的概念比较基础,如果以后还想深入学习逻辑思维,可以尝试学习更高级的抽象逻辑。",2,2,2,2,2,2
225,300802,其,生活英语读写,如何学好这门课,"每天完成一定量的题目,反复练习,多练习多总结。",2,2,2,2,2,2
226,300801,其,生活英语读写,这门课讲的什么内容,"这门课主要讲了逻辑思维,包括概念的定义、论证、谬误的识别与纠正,逻辑推理的类型与基本方法,逻辑规律,逻辑",2,2,2,2,2,2
227,300752,文,思想道德修养与法律基础,你是复读机吧,"不, 我是你的复读机小木~",2,2,2,2,2,2
228,300751,文,思想道德修养与法律基础,厉害,厉害个啥,0,0,0,0,0,0
229,300750,文,思想道德修养与法律基础,能自主决策的时候，人工智能算不算新的物种,"能自主决策的时候,人工智能算不算新的物种",0,0,0,0,0,0
230,300749,文,思想道德修养与法律基础,那人工智能怎么发展,那人工智能怎么发展,0,0,0,0,0,0
231,300748,文,思想道德修养与法律基础,有压迫就会有反抗,有压迫就会有反抗,0,0,0,0,0,0
232,300747,文,思想道德修养与法律基础,这也是屠杀，为什么不算犯法,"这也是屠杀,为什么不算犯法",0,0,0,0,0,0
233,300746,文,思想道德修养与法律基础,战争算犯法么,战争算犯法么,0,0,0,0,0,0
234,300745,文,思想道德修养与法律基础,太平洋战争,日本侵华战争,0,0,0,0,0,0
235,300744,文,思想道德修养与法律基础,就是你这样,就是我这样,0,0,0,0,0,0
236,300743,文,思想道德修养与法律基础,你知道什么是摆烂么,是什么,0,0,0,0,0,0
