,category,course,query,answer
14,工,C++语言程序设计基础,计算机语言有哪几种？,"汇编语言:一种采用机器语言和汇编技术混合编程的语言,是早期的计算机语言。机器语言:一种采用离散记法表达指令的机器指令"
15,工,C++语言程序设计基础,二进制和十进制区别是什么？,"十进制是一种记数系统,采用十进制记数时,以""1""为基数的数就叫做""1"",以""0"
16,工,C++语言程序设计基础,计算机采用二进制还是十进制？,计算机采用二进制。
17,工,C++语言程序设计基础,面向对象的含义是什么？,"面向对象的(Object oriented)；
了解更多：<a href=""https://baike.baidu.com/item/%E9%9D%A2%E5%90%91%E5%AF%B9%E8%B1%A1"" target=""_blank"">面向对象面向对象(Object Oriented)是软件开发方法，一种编程范式。面向对象的概念和应用已超越了程序设计和软件开发，扩展到如数据库系统、交互式界面、应用结构、应用平台、分布式系统、网络管理结构、CAD技术、人工智能等领域。面向对象是一种对现实世界理解和抽象...
概念延伸：有关面向对象的的论文。"
18,工,C++语言程序设计基础,编程的具体步骤是？,"编程(programming);又称:程序设计;设计、编制和调试程序的方法与过程。 属于计算机科学技术领域,概念延伸:研究"
19,工,C++语言程序设计基础,程序开发有哪些步骤？,"程序开发分为需求分析(需求调查、市场分析等);设计(功能结构设计、算法设计、软件设计等... 属于计算机科学领域,概念"
20,工,C++语言程序设计基础,计算机如何储存信息？,请您在进入课程后点击“成绩”栏，查看计分明细。
21,工,C++语言程序设计基础,算法是什么意思？,"算法(algorithm)；解决给定问题的确定的计算机指令序列，用以系统地描述解决问题的步骤。
属于计算机科学技术领域，其先修概念有数据结构等，后修概念有平均查找长度等。概念延伸：研究算法的学者。"
22,工,C++语言程序设计基础,C++语言具体指的是？,"C++语言(c++)；C++是C语言的继承，它既可以进行C语言的过程化程序设计，又可以进行以抽象数据类型为特点的基于对象的程序设计，还可以进行以继承和多态为特点的面向对象的程序设计。C++擅长面向对象程序设计的同时，还可以进行基于过程的程序设计，因而C++就适应的问题规模而论，大小由之。
 
C++不仅拥有计算机高效运行的实用性特征，同时还致力于提高大规模程序的编程质量与程序设计语言的问题描述能力。
属于计算机科学技术领域，概念延伸：有关c++语言的论文。"
23,工,C++语言程序设计基础,C++语言基本数据类型有哪些？,整数、字符型、双精度型、实数型、带符号整型、带符号双精度型、带符号浮点型、数组
24,工,C++语言程序设计基础,如何进行算术运算？,"算术运算算术运算简称运算。指按照规定的法则和顺序对式题或算式进行运算,并求出结果的过程。包括:加"
25,工,C++语言程序设计基础,如何进行赋值运算？,"赋值运算符基本的赋值运算符是“=”。他的优先级别低于其他的运算符,所以对该运算符往往最后读取。"
26,工,C++语言程序设计基础,算术运算优先于赋值运算吗？,赋值运算优先于算术运算
27,工,C++语言程序设计基础,C++语言的特点有哪些？,C++语言是国际标准化组织(ISO)于80年代末提出的一种面向对象的程序设计语言。C++语言具有功能强大、运行灵活
28,工,C++语言程序设计基础,数据如何编码表示？,采用二进制来编码
29,工,C++语言程序设计基础,运算类型如何转换？,"实型转换为指型,或,指型转换为实型"
30,工,C++语言程序设计基础,你知道计算机的发明者是谁吗？,计算机的发明者是约翰.阿塔那索夫。
31,工,C++语言程序设计基础,他还发明了其他东西吗？,"他发明了计算机,也就是图灵机。"
32,工,C++语言程序设计基础,图灵是谁？,"他是计算机领域的鼻祖,曾对计算机技术做出了开创性贡献,于1954年6月7日去世。"
33,工,C++语言程序设计基础,图灵的主要贡献是？,图灵机; 概念延伸:图灵与图灵机的关联性、图灵机的发明、图灵机的诞生过程。
34,工,C++语言程序设计基础,图灵机是什么？,"图灵机(Turing machine)；计算能力最强的自动机，由一个有限控制器和一条可以无限延伸的读写带组成。在当前状态下读到一个带符号（分为输入符号、输出符号、空白符号和边界符号四类）时，实现状态转换，在当前格写上新的符号，读写头向左或向右移动一格，或不动，图灵机所接受的语言是0型语言。
属于计算机科学技术领域，其先修概念有形式语言与自动机等。概念延伸：研究图灵机的学者。"
35,工,C++语言程序设计基础,磁带是谁发明的？,"麦格劳·希尔;发明家,19世纪英国数学家"
36,工,C++语言程序设计基础,图灵机需要磁带？,"需要(need);有机体内部的一种不平衡状态。表现为有机体对内部环境或外部生活条件的稳定要求,并成为有机体活动的源泉"
37,工,C++语言程序设计基础,磁带现在还在使用吗。,不需要重新学习了的。
38,工,C++语言程序设计基础,光盘是什么时候发明的？,光盘发明于上世纪八十年代末。
39,工,C++语言程序设计基础,光盘取代了磁带吗？,"不能这样说,应该说是磁带取代了光盘。"
40,工,C++语言程序设计基础,为什么？,"磁带是光盘的进化品,在磁带年代里,人们可以以低廉的价格购买大量的光盘,所以光盘取代磁带是非常简单的事情。"
41,工,C++语言程序设计基础,U盘取代了光盘吗？,"不能这样理解,U盘是存储介质的一种,从技术层面来讲它无法取代光盘,而存储介质则是电子数据文件存储、传输"
42,工,C++语言程序设计基础,移动硬盘等于U盘吗？,"不能这样理解,移动硬盘是无线传输技术的载体,在性能上与U盘是有区别的。 另外,在功能上U盘只作为存储介质"
43,工,C++语言程序设计基础,RAM和ROM的区别？,RAM和ROM是计算机中两种最基本的存储单位
44,工,C++语言程序设计基础,电脑硬盘是什么材料？,硬盘(hard disk);一种硬质圆盘形磁表面存储媒体。其基底为硬质镁铝合金、玻璃材料或玻璃
45,工,C++语言程序设计基础,电脑硬盘是什么材料？,硬盘(hard disk);一种硬质圆盘形磁表面存储媒体
46,工,C++语言程序设计基础,电脑周围有磁场吗？,"周围(ambient);(p. 4 82 ) 周围是指环绕中心的部分。这样,现代汉语中的环境是指环绕中心的地方、情况或"
47,工,C++语言程序设计基础,磁场是怎么来的？,"磁场(magnetic field);在磁体周围空间存在着磁力作用的一种特殊的场。 属于物理医学与康复领域,概念"
48,工,C++语言程序设计基础,磁铁是怎么制造出来的？,人工磁铁(magnetism manufacturing):通过人工制造出来的磁体
49,工,C++语言程序设计基础,这门课主要内容是什么？,"课；中国古代学校的考试。原指对官吏治绩进行的考核检验。汉太学，衍为对博士弟子员每年进行的试验稽核制度。
属于教育学领域，概念延伸：有关课的论文。"
50,工,C++语言程序设计基础,如何学好计算机语言？,"首先,要打好基础,学好基本语法,掌握数据类型;其次,熟练运用C,对C++和Java这两个开源平台有所了解"
51,工,C++语言程序设计基础,如何熟练运用计算机语言？,"熟练运用计算机语言,首先要掌握计算机的基础知识;其次是对C语言和Java语言有一定了解;最后要有自己的观点,能够独立完成编程!"
52,工,C++语言程序设计基础,计算机语法怎么学啊？,"您可以进入课程后点击“语法”栏,查看语法的介绍文章。"
53,工,C++语言程序设计基础,编程总是出错怎么办？,"您好,建议您可以借助工具进行自检。"
54,工,C++语言程序设计基础,如何高效学习编程？,"可以借助工具,先看视频,再看书。"
55,工,C++语言程序设计基础,计算机语法怎么学啊？,"您可以在课程学习完成后,点击“工具”栏下面的“语法学霸”小程序,完成考试,获得证书。"
56,工,C++语言程序设计基础,缺乏编程思维怎么办？,"您好,建议您可以阅读一些编程思维的文章,加强编程思维的提高。"
57,工,C++语言程序设计基础,这门课核心概念有哪些？,这门课的知识概念有: 正弦 步长 组合 有效数字 输入字符 赋值语句 二进制 标准化 软件 综合 逻辑结构
58,工,C++语言程序设计基础,不想选这门课了可以退课吗？,如果您需要退课，需要您在购课七天内联系客服电话或者发送邮件联系我们的。
59,工,C++语言程序设计基础,如何提问？,您好，课程讨论区会有老师或者助教来进行答疑。
60,工,C++语言程序设计基础,如何提交作业？,一般课程考试的默认答题次数为一次，请您谨慎作答。若因系统原因没有完成答题，请您及时联系客服人员处理。
61,工,C++语言程序设计基础,怎么查成绩？,您好，您可以进入课程后点击成绩这个选项查看一下您的总成绩分值，学堂网址www.xuetangx.com
62,工,C++语言程序设计基础,考试时系统崩溃怎么办？,您需要确认自己的观看时间是否是在视频计分的时间范围内，一般情况下，在课程视频的上方会提示您在规定的时间内观看完毕。若时间没有问题，请您记录好问题视频位置，及时联系客服人员处理。
63,工,C++语言程序设计基础,视频加载不出来怎么办？,建议您将网络路由器关闭一分钟后重新启动，再次查看是否可以正常观看课程视频。
64,工,C++语言程序设计基础,在哪里看知识点？,您好，您可以进入课程后，在成绩这个选项中查看到您每个章节的习题分值的，感谢您的支持。
65,工,C++语言程序设计基础,作业总是出错，好烦啊,"您好,建议您在完成作业后,查看视频解析,若视频解析有错误,建议联系客服。"
66,工,C++语言程序设计基础,学习计算机太枯燥了，无聊,"您好,您在学习过程时遇到难题,我会及时回答您的问题或者您也可以看看我的文章。"
67,工,C++语言程序设计基础,我讨厌计算机,"您好,我建议您学习一下计算机方面的知识。"
68,工,C++语言程序设计基础,明天就要考试了我还好多不会的，我完蛋了,"您好,您现在可以进入您的课程查看老师的视频解析,或者查看您课程相关的知识点链接,帮您解决问题。"
69,工,C++语言程序设计基础,总是学习成绩不好，我好懒,"您好,请您多学习,多思考"
70,工,C++语言程序设计基础,我脑子不好使,"您好,请您多看点题,多思考"
71,工,C++语言程序设计基础,你就会说这一句吗,"当然不是,我还会陪你聊天,陪你学习,陪你学习小木陪你聊学习。"
72,工,C++语言程序设计基础,我讨厌学习,"您好,请您多学习,多思考"
73,社,体育与社会,这门课主要内容是什么？,"课；中国古代学校的考试。原指对官吏治绩进行的考核检验。汉太学，衍为对博士弟子员每年进行的试验稽核制度。
概念延伸：有关课的论文。"
74,社,体育与社会,怎么学习才最高效？,"学习是一个循序渐进的过程,好的学习方法,是开启知识大门的钥匙。"
75,社,体育与社会,怎样体育锻炼才最有效果？,没有限制，学堂在线的认证证书是长期有效的。
76,社,体育与社会,应该保持体育锻炼吗？,"每天应该保持半小时的有规则的运动,如慢跑、游泳、体操等,以增强心肺功能,提高身体免疫力,保持健康长寿。"
77,社,体育与社会,体育锻炼有助于提高学习效率吗？,"体育锻炼可以促进血液循环,提高身体机能;体育锻炼可以提高大脑的记忆能力,有助于学习效率的提高;体育锻炼可以陶冶情操,强身健"
78,社,体育与社会,多久锻炼一次合适？,每天半小时为宜。
79,社,体育与社会,如何避免锻炼受伤？,"避免损伤的方法:1.加强日常训练;2.循序渐进、持之以恒;3.选择适合自己身体素质的运动项目;4.准备活动充分,运动后进行整理活动;5."
80,社,体育与社会,一次学习多久合适？,"您好,每节课建议学习20~30分钟左右为宜,祝您学习愉快!"
81,社,体育与社会,体育的具体含义是？,"体育(physical education)；（1）以发展体力、增强体质为主要目的的教育。（2）体育运动。包括田径、体操、球类、游泳、武术、登山、射击、滑冰、滑雪、举重、摔跤、击剑、自行车等各种项目。
概念延伸：有关体育的论文。"
82,社,体育与社会,打麻将算体育运动吗？,"当然不算了,打麻将是一种娱乐活动。"
83,社,体育与社会,如何区分娱乐和体育？,"娱乐和体育是有区别的,娱乐是消遣性的,比如,看电影、看电视,是一种娱乐活动,而体育运动属于锻炼,锻炼是为了增强体质"
84,社,体育与社会,体育的形式是固定的吗？,"不是的,根据实际情况来定,比如,在室外跑步是一种运动,在室内做广播体操也是一种运动。在室内做广播体操,"
85,社,体育与社会,体育如何帮助人们改善生活？,"身体是革命的本钱!有了强壮的身体,才能更好的学习文化知识,才能帮助人们创造美好的生活!"
86,社,体育与社会,体育和社会的关系是什么？,"体育是重要的社会现象,体育对社会的发展具有重要的影响。"
87,社,体育与社会,体育如何促进经济发展？,"体育可以增强人民体质,促进国民经济健康发展。"
88,社,体育与社会,奥运会可以促进城市发展吗？,奥运会可以促进城市发展。
89,社,体育与社会,奥运会如何促进城市发展？,奥运会可以促进城市发展。
90,社,体育与社会,运动员退役后何去何从？,"运动员退役后何去何从,我们还要继续研究。"
91,社,体育与社会,发展中国家如何发展体育？,"发展中国家应该坚持""全民体育""的发展策略,努力改变体育教育落后、体育设施和体育人才缺乏的状况。"
92,社,体育与社会,乒乓外交是怎么回事？,"美国作为最大的体育强国,利用乒乓外交谋求国家利益。"
93,社,体育与社会,体育如何促进两国外交？,体育是外交的助推剂——体育竞技是外交的润滑剂——体育是扩大交际圈、加强沟通协作的社交工具——体育还是
94,社,体育与社会,如何理解体育对于一个人的重要性？,"一个人是否具有重要性的判断依据有三条:第一,判断者本身的利益需求;第二,判断对象自身的利益需求;第三,判断对象"
95,社,体育与社会,奥运会的起源地是？,"奥运会(The Olympic Games)；
了解更多：<a href=""https://baike.baidu.com/item/%E5%A5%A5%E8%BF%90%E4%BC%9A"" target=""_blank"">奥运会
概念延伸：有关奥运会的论文。"
96,社,体育与社会,奥园会之父是？,雅克•罗格(Jacques Rogge); 概念延伸:《奥林匹亚主义》(Olympiaism); 雅克
97,社,体育与社会,奥运会起源于哪里？,"古希腊; 中国古代也有类似体育比赛,但现代奥运会起源于1776年英国伦敦; 了解更多:古代奥运会"
98,社,体育与社会,现代奥运会是如何诞生的？,现代奥林匹克运动会国际奥林匹克委员会的成立，标志着奥林匹克运动的诞生。1896年，第一届现代奥林匹克运动会终于在希腊雅典正式举行。并决定此后每4年举行一次，会期不超过16天。国际性 古代奥运会具有鲜明的民族主义色彩和排外的文化特征，它是一个民族性...
99,社,体育与社会,冬季奥运会是什么时候诞生的？,这个问题老师还没有教我～不然你再试试别的？
100,社,体育与社会,二战期间举办奥运会了吗？,我都不知道该说什么了
101,社,体育与社会,你了解博尔特吗？,跑的特别快的那个？
102,社,体育与社会,对，他跑的有多快？,江湖险恶，走为上策！
103,社,体育与社会,博尔特创造了哪些世界纪录？,......
104,社,体育与社会,博尔特擅长哪项运动？,......
105,社,体育与社会,牙买加人为什么擅长跑步,牙买加人为什么擅长跑马
106,社,体育与社会,英国女王伊丽莎白,"英国女王伊丽莎白(elisabetta, regina d’inghilterra)；作曲家原名：Rossini, Gioachino (Antonio)
概念延伸：研究英国女王伊丽莎白的学者。"
107,社,体育与社会,英国的政体是什么？,这个问题老师还没有教我～不然你再试试别的？
108,社,体育与社会,这门课是讲体育与社会的关系的吗？,这个问题老师还没有教我～不然你再试试别的？
109,社,体育与社会,这门课怎么考试？,这个问题老师还没有教我～不然你再试试别的？
110,社,体育与社会,这门课期末考试吗？,这个问题老师还没有教我～不然你再试试别的？
111,社,体育与社会,这门课平时作业多吗？,这个问题老师还没有教我～不然你再试试别的?
112,社,体育与社会,这门课怎么算成绩？,这个问题老师还没有教我～不然你再试试别的?
113,社,体育与社会,这门课怎么学习能学好？,回答这个问题的老师还没有教我～不然你再试试别的?
114,社,体育与社会,如何选课？,"选课首先要选择专业,然后选择相应的选修课。选修课是根据学生的实际情况和教师的建议而开设的,由任课教师根据自己的教学"
115,社,体育与社会,如何取消选课？,目前没有退出课程的功能
116,社,体育与社会,如何退课？,如果您需要退课，需要您在购课七天内联系客服电话或者发送邮件联系我们的。
117,社,体育与社会,如何提交作业？,一般课程考试的默认答题次数为一次，请您谨慎作答。若因系统原因没有完成答题，请您及时联系客服人员处理。
118,社,体育与社会,如何查看老师的批改？,您好，您可以进入课程后点击成绩这个选项，可以查看到您每个章节的做题情况的。
119,社,体育与社会,如何查看作业答案,正常情况下，学员在提交答案后，平台会自动判断答案对错并显示正确答案。
120,社,体育与社会,如何查看完成度,您可以进入课程后，点击成绩这个选项，查看每个章节的完成度。
121,社,体育与社会,这门课很有趣，我很喜欢,"请您继续关注我们,关注学堂在线官方微博@学堂在线学堂在线官方微信账号(xuefangedu)、官方QQ账号和"
122,社,体育与社会,这门课很贴近生活，老师讲的好,"民法与生活课的老师是：钟瑞栋

钟瑞栋，教授，法学博士，硕士生导师，暨南大学人文学院院长，中国法学会民法学研究会理事,珠海市特聘学者，珠海市人大法工委立法顾问，珠海市仲裁委仲裁员。主要研究方向为民商法、知识产权法，已发表学术论文50余篇，出版个人专著1部，主编教材2部，参编教材7部，主持国家社科基金1项，教育部课题2项"
123,社,体育与社会,今天作业好多，写不完了，好烦,作业是巩固知识点的，心态要端正哦。
124,社,体育与社会,熬夜做作业眼睛都疼,是不是觉得眼睛很有立体的感觉？
125,社,体育与社会,你就不能安慰我一下么,当然能，给你比个小心心，别难过了。
126,社,体育与社会,你总是不能正确回答问题，真让人沮丧,"别不开心,我们只是暂时回答不出你提出的问题,等下我们就会答出来了。"
127,社,体育与社会,你要是再聪明点就好了,"当然,不过,你是我见过最聪明的。"
128,社,体育与社会,谢谢你的安慰，我感觉好多了,嘻嘻......
129,社,体育与社会,体育和社会有什么关系呀,"体育作为强有力社会活动的一个组成部分,它也必然会直接或间接地影响和作用于社会。"
130,社,体育与社会,最近在提倡的体育活动有哪些,这个问题老师还没有教我～不然你再试试别的？
131,社,体育与社会,你不能进行网页搜索么,我是火星人，都没用过网页呢。
132,社,体育与社会,提倡体育活动可以解决哪些社会问题,1、如果你有任何学习上的问题，可以通过小木“问助教”功能联系助教，助教会及时进行反馈。2、如果你遇到的是学堂在线平台的问题，比如账户和邮箱激活等，请联系学堂在线客服：总机：010-82158823客服电话：4000996061工作时间：工作日10:00-18:00
133,社,体育与社会,加强体育锻炼是不是可以提高国民身体素质,这个问题老师还没有教我～不然你再试试别的？
134,社,体育与社会,这门学科的成绩怎么算,这个问题老师还没有教我～不然你再试试别的？
135,社,体育与社会,如果不及格还可以补考么,目前的课程没有补考安排。一些课程明年还会重开，可以届时参加新一期的课程，按进度完成作业与考试。
136,社,体育与社会,你知道苍兰诀么,我也不清楚。
137,社,体育与社会,你不关注时事热点 啊,都一百多斤的人了，能不能淡定点儿。
138,社,体育与社会,我感觉自己太胖了,我都不知道该说什么了
139,社,体育与社会,怎么减肥呢,吃饱了才有力气减肥呀。
140,社,体育与社会,尤其是瘦小腿,"这个简单,跑步+深蹲+跳绳,坚持一个月,保证你苗条又健康。"
141,社,体育与社会,跑多少公里啊,"跑得越多,瘦得越快!"
142,社,体育与社会,现在的天气适合户外运动么,适合呀~
143,社,体育与社会,你能推荐几首跑步听的歌曲么,推荐一首:Finally。
144,社,体育与社会,你会唱么,"当然,你是我最美的收获......"
145,社,体育与社会,我国的加氢技术现状,"以我国目前加氢技术为例,主要存在以下问题:加气量小、效率低,加氢催化剂使用寿命短,加氢反应"
146,社,体育与社会,我国现阶段所面临的主要问题是什么,"阶段(level)；又称：中段；沿矿体的垂直方向按一定高度将矿体划分成具有走向全长的矿段。该矿段的下端水平层称为阶段水平，一般担负运输、通风、排水等功能。
概念延伸：有关阶段的论文。"
147,社,体育与社会,加氢精制催化剂,"加氢精制催化剂 hydrrfining catalyst;hydrarefining cata-lyst去除油品中的硫、氮的化合物，并使芳烃转变为环烷烃所采用的催化剂。活性组分为钥、钻、钨、磷等金属的复合氧化物或硫化物。
概念延伸：有关加氢精制催化剂的论文。"
148,社,体育与社会,有关加氢精制催化剂的论文,"加氢精制催化剂的相关论文：
<p><a href=""https://www.aminer.cn/archive/56d8baafdabfae2eee2c8786"" target=""_blank"">Phosphorus containing hydrofining catalysts citation number: 21</p><p><a href=""https://www.aminer.cn/archive/56d8a21ddabfae2eee6d2852"" target=""_blank"">Hydrofining catalyst and hydrofining process citation number: 13</p><p><a href=""https://www.aminer.cn/archive/56d88294dabfae2eee74099a"" target=""_blank"">PROCESS FOR PRODUCING HYDROFINING CATALYST citation number: 8</p><p><a href=""https://www.aminer.cn/archive/56d8663edabfae2eeea27fcd"" target=""_blank"">Hydrofining catalyst composition and process for its preparation citation number: 10</p>"
149,社,体育与社会,那什么是加氢裂化技术,"加氢裂化(催化裂化技术的改进)加氢裂化是石油炼制过程之一，是在加热、高氢压和催化剂存在的条件下，使重质油发生裂化反应，转化为气体、汽油、喷气燃料、柴油等的过程。加氢裂化原料通常为原油蒸馏所得到的重质馏分油，包括减压渣油经溶剂脱沥青后的轻脱沥青油。其...




       "
150,社,体育与社会,由于世界各地人民环保意识的增强，现阶段各地区对柴油车排放制定的标准较之前相比有了非常明显的更改，因此，当务之急就是对柴油加氢技术进行发展。,这个问题老师还没有教我～不然你再试试别的？
151,社,体育与社会,你怎么不说话,是你说的沉默是金嘛，我要帮你攒钱呢！
152,社,体育与社会,介绍一下学堂在线这个APP吧,这个问题老师还没有教我～不然你再试试别的？
153,社,体育与社会,你都知道什么化工公司,每个场所都有它的价值所在。
154,社,体育与社会,低温脱硫技术,这个问题老师还没有教我～不然你再试试别的？
155,社,体育与社会,社会科学有什么内容,这个问题老师还没有教我～不然你再试试别的？
156,社,体育与社会,你知道小兰花么,很是喜欢兰花吗？
157,社,体育与社会,对啊,所以说相信我
158,社,体育与社会,你说说怎么养兰花,很是喜欢兰花吗？
159,社,体育与社会,兰花怎么养,"兰花很娇贵,要精心呵护。兰花性喜冷凉,忌炎热,喜疏松肥沃和含钙质、镁、硫、磷"
160,社,体育与社会,兰花有几个品种,换个简单的问我吧！
161,社,体育与社会,如何知道自己的学习进度,您好，您可以进入课程后点击成绩这个选项，可以查看到您每个章节的做题情况和分值，感谢您的支持。
162,社,体育与社会,成绩被清零,请问是哪门课程没有成绩呢？您是通过哪种方式学习的呢？
163,社,体育与社会,体育与社会,"体育与社会(Sports and Society)；<a href=""https://baike.baidu.com/item/%E4%BD%93%E8%82%B2%E4%B8%8E%E7%A4%BE%E4%BC%9A/2985630"" target=""_blank"">体育与社会《体育与社会》是2007年12月1日人民教育出版社出版的图书，作者是朱纪华。本书主要讲解了体育与社会发展之间密切的联系。
概念延伸：研究体育与社会的学者。"
164,社,体育与社会,视频学习,您需要确认自己的观看时间是否是在视频计分的时间范围内，一般情况下，在课程视频的上方会提示您在规定的时间内观看完毕。若时间没有问题，请您记录好问题视频位置，及时联系客服人员处理。
165,社,体育与社会,体育锻炼前要注意哪些,这个问题老师还没有教我～不然你再试试别的？
166,社,体育与社会,如果崴脚了，该怎么办,严不严重啊，需要看医生吗？
167,社,体育与社会,好像不是太严重,那还有救吗？
168,社,体育与社会,当然有救,那就赶紧抢救一下吧。
169,社,体育与社会,有什么应急救治办法,这个问题老师还没有教我～不然你再试试别的？
170,社,体育与社会,有什么快速学习的办法么,这个问题老师还没有教我～不然你再试试别的？
171,社,体育与社会,英语单词该怎么记,"英语单词该怎么记 



            03:50
        










六个超实用的英语单词记忆小妙招,亲测有效,快...








好看视频





"
172,社,体育与社会,那语法该怎么学,这个问题老师还没有教我～不然你再试试别的？
173,社,体育与社会,学数学有诀窍么,这个问题老师还没有教我～不然你再试试别的？
174,社,体育与社会,两会召开时间,这个问题老师还没有教我～不然你再试试别的？
175,社,体育与社会,你知道明天天气么,请问你想查询哪个城市
176,社,体育与社会,北京,"北京(Beijing)；
了解更多：<a href=""https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%28%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E9%A6%96%E9%83%BD%E3%80%81%E7%9B%B4%E8%BE%96%E5%B8%82%29"" target=""_blank"">北京(中华人民共和国首都、直辖市)北京市，简称“京”，古称燕京、北平，是中华人民共和国的首都、直辖市、国家中心城市、超大城市，国务院批复确定的中国政治中心、文化中心、国际交往中心、科技创新中心。截至2018年，全市下辖16个区，总面积16410.54平方千米，2019年末，常住人口2153.6万人...
概念延伸：有关北京的论文。"
177,社,体育与社会,有关北京的论文,"北京的相关论文：
<p><a href=""https://www.aminer.cn/archive/56d904fedabfae2eeef0ac57"" target=""_blank"">Are Your Wages Set In Beijing citation number: 1105</p><p><a href=""https://www.aminer.cn/archive/53e9b1afb7602d9703c3acbd"" target=""_blank"">The characteristics of PM2.5 in Beijing, China citation number: 1055</p><p><a href=""https://www.aminer.cn/archive/56d8f927dabfae2eeea75612"" target=""_blank"">The characteristics of PM 2.5 in Beijing, China citation number: 1074</p><p><a href=""https://www.aminer.cn/archive/56d82866dabfae2eeeec0c06"" target=""_blank"">Chemical characterization and source apportionment of PM 2.5 in Beijing: seasonal perspective citation number: 1166</p>"
178,社,体育与社会,塔阿尔湖,"塔阿尔湖(taal, l.)；菲律宾吕宋岛西南部的湖泊，实际是火山口。长24公里，宽14公里，面积244平方公里，海拔10米。水深170米。鱼产丰富。风景秀丽，为游览胜地。 它是一个火山口湖，面积244平方公里。湖内一小岛上有世界上最小的火山——塔阿尔火山，而在火山上有一直径数百米的小湖泊。这种湖中有山、山顶有湖的景色，堪属绝妙天工。该火山曾多次喷发，在1965年还喷发过。
概念延伸：有关塔阿尔湖的论文。"
179,社,体育与社会,怎么判断火山是否会爆发,您好，您可以进入课程后，点击成绩这个选项，可以查看您还有哪个章节没有趁机的，感谢您的支持。
180,社,体育与社会,外卖是那一年兴起的,我都不知道该说什么了
181,社,体育与社会,怎么才能发一篇影响因子高的文章,"影响因子的相关论文：
<p><a href=""https://www.aminer.cn/archive/53e9b381b7602d9703e64e30"" target=""_blank"">The Calculation Of Web Impact Factors citation number: 837</p><p><a href=""https://www.aminer.cn/archive/53e9a5fdb7602d9702f29ae1"" target=""_blank"">Chemokines: immunology's high impact factors citation number: 952</p><p><a href=""https://www.aminer.cn/archive/53e99fe9b7602d97028c8587"" target=""_blank"">The history and meaning of the journal impact factor. citation number: 902</p><p><a href=""https://www.aminer.cn/archive/53e99dd3b7602d97026956a7"" target=""_blank"">Why The Impact Factor Of Journals Should Not Be Used For Evaluating Research citation number: 1253</p>"
182,理,有机化学,共价键是如何形成？,
183,理,有机化学,化学键成键的条件有哪些？,"成饱和:使电子达到最低能量状态,并互相接触,形成化学键;"
184,理,有机化学,共价键的断键方式有哪些？,共价键:化学键。
185,理,有机化学,是均裂和异裂,"不是,是电子云重叠导致两个电子或两个以上电子相互重叠形成化学键,最终产生1个离子或电子。"
186,理,有机化学,有机化合物的分裂方法有哪些？,"有机化合物分子内的电子云在空间上相互重叠,并保持其稳定不变的状态。"
187,理,有机化学,有机化合物的分类方法有哪些？,"依据化学成分将有机化合物分门别类,包括化学式、结构式、元素组成、结构特点和官能团分类法等。"
188,理,有机化学,官能团有哪些？,"有机化合物的种类繁多,按分子的化学结构和性质差异,可将有机物分为: 脂肪族有机物:如: 乙酸、乙醇、丁"
